generator,split,concept,n,mean,std,median,q25,q75
ADM,all,bitplane_lsb,2000,0.24211929738521576,0.1550593376159668,0.22844189405441284,0.1254321113228798,0.27432572841644287
ADM,all,freq_radial,2000,0.4386586546897888,0.19931399822235107,0.4491344392299652,0.24903305247426033,0.6195513606071472
ADM,all,color_manifold,2000,0.3533179759979248,0.1626923680305481,0.328925222158432,0.22770670801401138,0.4353109374642372
ADM,all,hf_noise,2000,0.2703946530818939,0.15536843240261078,0.21988573670387268,0.18854615837335587,0.2972559928894043
ADM,all,jpeg_quant,2000,0.49190694093704224,0.25490155816078186,0.4561859965324402,0.2524097338318825,0.7081615626811981
ADM,all,texture_geometry,2000,0.3823574483394623,0.15555936098098755,0.37353092432022095,0.2636306807398796,0.4833514168858528
ADM,ai,bitplane_lsb,1000,0.3304874002933502,0.15182209014892578,0.26316702365875244,0.24231192842125893,0.3561341241002083
ADM,ai,freq_radial,1000,0.622050404548645,0.07933954894542694,0.6195576190948486,0.572515070438385,0.6715070903301239
ADM,ai,color_manifold,1000,0.440861314535141,0.14138148725032806,0.39904922246932983,0.3394131660461426,0.5060333907604218
ADM,ai,hf_noise,1000,0.2415405809879303,0.0731344074010849,0.21717111766338348,0.19725307449698448,0.2575962021946907
ADM,ai,jpeg_quant,1000,0.26505047082901,0.08077511191368103,0.25238746404647827,0.20242422074079514,0.31702103465795517
ADM,ai,texture_geometry,1000,0.454487681388855,0.13652175664901733,0.4399428367614746,0.35625624656677246,0.5442916005849838
ADM,real,bitplane_lsb,1000,0.1537511944770813,0.09705153852701187,0.12542591989040375,0.11174380779266357,0.1407082974910736
ADM,real,freq_radial,1000,0.2552669048309326,0.07676123082637787,0.24892812967300415,0.20133740827441216,0.30354977399110794
ADM,real,color_manifold,1000,0.26577460765838623,0.1327449232339859,0.2275865525007248,0.17478853836655617,0.30513928085565567
ADM,real,hf_noise,1000,0.29924872517585754,0.20313775539398193,0.23298999667167664,0.15848806500434875,0.3645920976996422
ADM,real,jpeg_quant,1000,0.7187634110450745,0.14316870272159576,0.7082085013389587,0.6112019270658493,0.8286950141191483
ADM,real,texture_geometry,1000,0.31022724509239197,0.13911756873130798,0.28731435537338257,0.20587877184152603,0.40125472843647003
BigGAN,all,bitplane_lsb,2000,0.22227837145328522,0.14121173322200775,0.21182632446289062,0.1250101961195469,0.24100316688418388
BigGAN,all,freq_radial,2000,0.5030344128608704,0.2520101070404053,0.537916898727417,0.2561895325779915,0.7454174757003784
BigGAN,all,color_manifold,2000,0.3503340780735016,0.17251726984977722,0.31899774074554443,0.2163388393819332,0.4315548986196518
BigGAN,all,hf_noise,2000,0.24543918669223785,0.14371629059314728,0.20084068179130554,0.18541395664215088,0.2371515929698944
BigGAN,all,jpeg_quant,2000,0.47155284881591797,0.2638700604438782,0.41201716661453247,0.2170764096081257,0.7003890573978424
BigGAN,all,texture_geometry,2000,0.34284961223602295,0.12760406732559204,0.33701005578041077,0.25287823379039764,0.42669954150915146
BigGAN,ai,bitplane_lsb,1000,0.29544538259506226,0.14378663897514343,0.2342766374349594,0.22146091982722282,0.2939727380871773
BigGAN,ai,freq_radial,1000,0.7438501119613647,0.07241925597190857,0.7454265356063843,0.7006621062755585,0.7915098369121552
BigGAN,ai,color_manifold,1000,0.44651591777801514,0.16205206513404846,0.4017089009284973,0.32768727093935013,0.5163064002990723
BigGAN,ai,hf_noise,1000,0.20027072727680206,0.014440605416893959,0.19890856742858887,0.19144486263394356,0.20748189091682434
BigGAN,ai,jpeg_quant,1000,0.23154763877391815,0.06254453212022781,0.2169487178325653,0.18358924984931946,0.2681549936532974
BigGAN,ai,texture_geometry,1000,0.3736186921596527,0.10296564549207687,0.36287522315979004,0.29937364161014557,0.43846916407346725
BigGAN,real,bitplane_lsb,1000,0.14911136031150818,0.09219591319561005,0.1250063180923462,0.11074292846024036,0.141175277531147
BigGAN,real,freq_radial,1000,0.26221877336502075,0.07608741521835327,0.25603801012039185,0.21124109998345375,0.3044559508562088
BigGAN,real,color_manifold,1000,0.25415223836898804,0.12149753421545029,0.21653030812740326,0.1721605286002159,0.3016352355480194
BigGAN,real,hf_noise,1000,0.29060766100883484,0.19240538775920868,0.22405129671096802,0.1530548371374607,0.3571845591068268
BigGAN,real,jpeg_quant,1000,0.7115581035614014,0.14190830290317535,0.7004724144935608,0.6027944386005402,0.8203476816415787
BigGAN,real,texture_geometry,1000,0.3120805323123932,0.141669362783432,0.29407817125320435,0.20529989153146744,0.405957967042923
GLIDE,all,bitplane_lsb,2000,0.3909327983856201,0.31586503982543945,0.22320249676704407,0.12416704185307026,0.7231242209672928
GLIDE,all,freq_radial,2000,0.4324225187301636,0.1961483359336853,0.4694032669067383,0.24851388856768608,0.6023173928260803
GLIDE,all,color_manifold,2000,0.5001774430274963,0.2976210117340088,0.40537020564079285,0.2226567044854164,0.856040745973587
GLIDE,all,hf_noise,2000,0.24222290515899658,0.15514390170574188,0.18024159967899323,0.16733980551362038,0.2402483932673931
GLIDE,all,jpeg_quant,2000,0.4499964118003845,0.2871868908405304,0.3813971281051636,0.1781405434012413,0.7042520195245743
GLIDE,all,texture_geometry,2000,0.29407167434692383,0.11951711773872375,0.2653208374977112,0.21110448241233826,0.3591544032096863
GLIDE,ai,bitplane_lsb,1000,0.6344399452209473,0.268780380487442,0.7164443731307983,0.35817544162273407,0.8749034702777863
GLIDE,ai,freq_radial,1000,0.6117466688156128,0.08441800624132156,0.6023346781730652,0.5449297428131104,0.669467955827713
GLIDE,ai,color_manifold,1000,0.7467374801635742,0.20526835322380066,0.8560428023338318,0.5574676096439362,0.9107766300439835
GLIDE,ai,hf_noise,1000,0.175967738032341,0.011809787712991238,0.17421399056911469,0.1676221899688244,0.18305059522390366
GLIDE,ai,jpeg_quant,1000,0.18297219276428223,0.029361523687839508,0.17813096940517426,0.1665533110499382,0.1924257129430771
GLIDE,ai,texture_geometry,1000,0.2710472345352173,0.07962533086538315,0.24671679735183716,0.21086379140615463,0.31752319633960724
GLIDE,real,bitplane_lsb,1000,0.14742568135261536,0.0933118611574173,0.1241316944360733,0.1114063523709774,0.13794900476932526
GLIDE,real,freq_radial,1000,0.25309836864471436,0.07421354204416275,0.24850723147392273,0.19869739562273026,0.30021239072084427
GLIDE,real,color_manifold,1000,0.25361743569374084,0.11592119187116623,0.22241704165935516,0.17176327109336853,0.2997058480978012
GLIDE,real,hf_noise,1000,0.30847805738449097,0.1980411559343338,0.23882102966308594,0.1644068956375122,0.3892712891101837
GLIDE,real,jpeg_quant,1000,0.7170206308364868,0.14658339321613312,0.7042614221572876,0.6043149083852768,0.8325074315071106
GLIDE,real,texture_geometry,1000,0.31709614396095276,0.14549309015274048,0.2907221019268036,0.21254243329167366,0.40487776696681976
Midjourney,all,bitplane_lsb,2000,0.2845187783241272,0.21022619307041168,0.23841264843940735,0.1233546994626522,0.3522546663880348
Midjourney,all,freq_radial,2000,0.41767996549606323,0.17543582618236542,0.41468527913093567,0.25455163419246674,0.5855501741170883
Midjourney,all,color_manifold,2000,0.3464258909225464,0.14423160254955292,0.342940092086792,0.22888367623090744,0.4307612180709839
Midjourney,all,hf_noise,2000,0.2723351716995239,0.1562703549861908,0.22689640522003174,0.18711093813180923,0.2982083633542061
Midjourney,all,jpeg_quant,2000,0.48380163311958313,0.24789398908615112,0.44897523522377014,0.2499190829694271,0.6928563416004181
Midjourney,all,texture_geometry,2000,0.3615552484989166,0.15000207722187042,0.34964731335639954,0.25205354392528534,0.4598916620016098
Midjourney,ai,bitplane_lsb,1000,0.41836223006248474,0.2073017954826355,0.32190024852752686,0.2585223764181137,0.536785900592804
Midjourney,ai,freq_radial,1000,0.5744576454162598,0.07897248864173889,0.5855576992034912,0.531586229801178,0.6300350278615952
Midjourney,ai,color_manifold,1000,0.4307292401790619,0.10849226266145706,0.405126690864563,0.35346901416778564,0.4887687936425209
Midjourney,ai,hf_noise,1000,0.26372113823890686,0.09650340676307678,0.23254495859146118,0.2072743959724903,0.2828259915113449
Midjourney,ai,jpeg_quant,1000,0.26321014761924744,0.07248754054307938,0.24990051984786987,0.20942209288477898,0.29900625348091125
Midjourney,ai,texture_geometry,1000,0.4223601520061493,0.12926529347896576,0.4098871350288391,0.32456301152706146,0.5054875612258911
Midjourney,real,bitplane_lsb,1000,0.15067531168460846,0.09791794419288635,0.12333870679140091,0.10907314717769623,0.14021854102611542
Midjourney,real,freq_radial,1000,0.2609022855758667,0.07848768681287766,0.25565457344055176,0.2045186646282673,0.3086369261145592
Midjourney,real,color_manifold,1000,0.2621225416660309,0.1249832808971405,0.2290194034576416,0.1734231449663639,0.309771403670311
Midjourney,real,hf_noise,1000,0.280949205160141,0.19844278693199158,0.21152657270431519,0.1444476805627346,0.3334582895040512
Midjourney,real,jpeg_quant,1000,0.7043931484222412,0.1425734907388687,0.6912822723388672,0.5906465649604797,0.8067531436681747
Midjourney,real,texture_geometry,1000,0.30075034499168396,0.144558846950531,0.27670347690582275,0.1913384348154068,0.3922536298632622
Stable_Diffusion_v1.4,all,bitplane_lsb,2000,0.2092886120080948,0.09564182162284851,0.23275206983089447,0.12421455606818199,0.26543522626161575
Stable_Diffusion_v1.4,all,freq_radial,2000,0.4177102744579315,0.18306687474250793,0.4041721224784851,0.24851388856768608,0.5885693281888962
Stable_Diffusion_v1.4,all,color_manifold,2000,0.33980822563171387,0.1373664289712906,0.34015777707099915,0.2217537723481655,0.42616793513298035
Stable_Diffusion_v1.4,all,hf_noise,2000,0.3515437841415405,0.19966819882392883,0.2850561738014221,0.21058682724833488,0.44855013489723206
Stable_Diffusion_v1.4,all,jpeg_quant,2000,0.5262807607650757,0.22731876373291016,0.4871029257774353,0.33525362610816956,0.7054096758365631
Stable_Diffusion_v1.4,all,texture_geometry,2000,0.41508179903030396,0.1766975075006485,0.39907291531562805,0.2807520478963852,0.540322795510292
Stable_Diffusion_v1.4,ai,bitplane_lsb,1000,0.2714751064777374,0.04439876973628998,0.2614021301269531,0.24693380296230316,0.2814358025789261
Stable_Diffusion_v1.4,ai,freq_radial,1000,0.5827885270118713,0.08441641926765442,0.5886050462722778,0.5358501672744751,0.6339191347360611
Stable_Diffusion_v1.4,ai,color_manifold,1000,0.42624327540397644,0.0959361344575882,0.40800029039382935,0.35730019956827164,0.47699539363384247
Stable_Diffusion_v1.4,ai,hf_noise,1000,0.39287257194519043,0.19294233620166779,0.3204372525215149,0.24801386892795563,0.4895140677690506
Stable_Diffusion_v1.4,ai,jpeg_quant,1000,0.33411458134651184,0.09040426462888718,0.3351415991783142,0.2658368796110153,0.40105918049812317
Stable_Diffusion_v1.4,ai,texture_geometry,1000,0.5120119452476501,0.15012671053409576,0.5034618973731995,0.3948604241013527,0.6157907843589783
Stable_Diffusion_v1.4,real,bitplane_lsb,1000,0.14710213243961334,0.09267764538526535,0.12421049922704697,0.11148662492632866,0.13736802339553833
Stable_Diffusion_v1.4,real,freq_radial,1000,0.2526320219039917,0.07347913831472397,0.24854296445846558,0.19884077832102776,0.29875533282756805
Stable_Diffusion_v1.4,real,color_manifold,1000,0.2533731758594513,0.11659026890993118,0.2217453122138977,0.17143388092517853,0.2997058480978012
Stable_Diffusion_v1.4,real,hf_noise,1000,0.310215026140213,0.19771671295166016,0.2440829575061798,0.1647290289402008,0.3930770382285118
Stable_Diffusion_v1.4,real,jpeg_quant,1000,0.7184469103813171,0.14601050317287445,0.705463171005249,0.6055096834897995,0.8332029283046722
Stable_Diffusion_v1.4,real,texture_geometry,1000,0.3181516230106354,0.14531026780605316,0.29345351457595825,0.2129085659980774,0.40423937141895294
VQDM,all,bitplane_lsb,2000,0.21020229160785675,0.11180630326271057,0.21795935928821564,0.12416704185307026,0.25120606273412704
VQDM,all,freq_radial,2000,0.39790377020835876,0.16128060221672058,0.41790223121643066,0.24851388856768608,0.5373664200305939
VQDM,all,color_manifold,2000,0.46691223978996277,0.26636388897895813,0.3905099630355835,0.2226567044854164,0.713884025812149
VQDM,all,hf_noise,2000,0.26507288217544556,0.15442265570163727,0.20528924465179443,0.18819554150104523,0.2783755362033844
VQDM,all,jpeg_quant,2000,0.476890504360199,0.26818668842315674,0.4501020610332489,0.20819558948278427,0.7042520195245743
VQDM,all,texture_geometry,2000,0.35042256116867065,0.1477840691804886,0.31308531761169434,0.258653961122036,0.424146369099617
VQDM,ai,bitplane_lsb,1000,0.27297887206077576,0.09171915054321289,0.24531006813049316,0.230350773781538,0.2728785052895546
VQDM,ai,freq_radial,1000,0.5427091717720032,0.06766099482774734,0.5373831391334534,0.4991835355758667,0.582999050617218
VQDM,ai,color_manifold,1000,0.6802070140838623,0.19357776641845703,0.7097042798995972,0.522185206413269,0.8550317883491516
VQDM,ai,hf_noise,1000,0.22166772186756134,0.06858900934457779,0.20098377764225006,0.19312328845262527,0.21808645501732826
VQDM,ai,jpeg_quant,1000,0.23676037788391113,0.08388438820838928,0.20815257728099823,0.17651191353797913,0.28249426931142807
VQDM,ai,texture_geometry,1000,0.38374897837638855,0.1424454301595688,0.32578548789024353,0.2813604548573494,0.44366761296987534
VQDM,real,bitplane_lsb,1000,0.14742569625377655,0.09331180900335312,0.1241316944360733,0.1114063523709774,0.13794900476932526
VQDM,real,freq_radial,1000,0.25309836864471436,0.07421354204416275,0.24850723147392273,0.19869739562273026,0.30021239072084427
VQDM,real,color_manifold,1000,0.25361743569374084,0.11592136323451996,0.22241704165935516,0.17176327109336853,0.2997058480978012
VQDM,real,hf_noise,1000,0.3084779977798462,0.19804102182388306,0.23882102966308594,0.1644068956375122,0.3892712891101837
VQDM,real,jpeg_quant,1000,0.7170206308364868,0.14658337831497192,0.7042614221572876,0.6043149083852768,0.8325074315071106
VQDM,real,texture_geometry,1000,0.31709614396095276,0.14549313485622406,0.2907221019268036,0.21254243329167366,0.40487776696681976
Wukong,all,bitplane_lsb,2000,0.2113800048828125,0.09871016442775726,0.2349981665611267,0.12416704185307026,0.267542764544487
Wukong,all,freq_radial,2000,0.3963782489299774,0.16550971567630768,0.3790245056152344,0.24842266365885735,0.5472190529108047
Wukong,all,color_manifold,2000,0.3277982473373413,0.12529507279396057,0.33186453580856323,0.2217537723481655,0.4073330983519554
Wukong,all,hf_noise,2000,0.3588052988052368,0.19840140640735626,0.30035755038261414,0.21722165495157242,0.4539818912744522
Wukong,all,jpeg_quant,2000,0.5240834951400757,0.22716964781284332,0.47199153900146484,0.3267873078584671,0.704280897974968
Wukong,all,texture_geometry,2000,0.42617160081863403,0.18214008212089539,0.41429445147514343,0.2840952053666115,0.5579757243394852
Wukong,ai,bitplane_lsb,1000,0.27533435821533203,0.050989970564842224,0.26398831605911255,0.25019584596157074,0.28615503013134
Wukong,ai,freq_radial,1000,0.5396580696105957,0.09067004173994064,0.5472373962402344,0.4838578328490257,0.6070888638496399
Wukong,ai,color_manifold,1000,0.4019790589809418,0.08339308947324753,0.38883084058761597,0.3426832854747772,0.4492626488208771
Wukong,ai,hf_noise,1000,0.4091325104236603,0.18558093905448914,0.3473830223083496,0.2699117958545685,0.49095457792282104
Wukong,ai,jpeg_quant,1000,0.33114632964134216,0.0852990597486496,0.32677581906318665,0.26740381866693497,0.3914474844932556
Wukong,ai,texture_geometry,1000,0.5352470874786377,0.14624249935150146,0.5250159502029419,0.4229590594768524,0.639243483543396
Wukong,real,bitplane_lsb,1000,0.14742568135261536,0.0933118611574173,0.1241316944360733,0.1114063523709774,0.13794900476932526
Wukong,real,freq_radial,1000,0.25309836864471436,0.07421354204416275,0.24850723147392273,0.19869739562273026,0.30021239072084427
Wukong,real,color_manifold,1000,0.25361743569374084,0.11592119187116623,0.22241704165935516,0.17176327109336853,0.2997058480978012
Wukong,real,hf_noise,1000,0.30847805738449097,0.1980411559343338,0.23882102966308594,0.1644068956375122,0.3892712891101837
Wukong,real,jpeg_quant,1000,0.7170206308364868,0.14658339321613312,0.7042614221572876,0.6043149083852768,0.8325074315071106
Wukong,real,texture_geometry,1000,0.31709614396095276,0.14549309015274048,0.2907221019268036,0.21254243329167366,0.40487776696681976
